,demand,pv,wind,biomass,hydro_large,hydro_small
2013-09-27 11:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 12:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 13:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 14:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 15:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 16:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 17:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 18:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 19:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 20:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 21:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 22:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-27 23:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 00:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 01:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 02:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 03:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 04:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 05:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 06:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 07:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 08:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 09:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 10:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 11:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 12:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 13:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 14:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 15:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 16:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 17:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 18:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 19:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 20:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 21:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 22:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-28 23:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 00:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 01:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 02:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 03:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 04:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 05:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 06:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 07:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 08:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 09:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 10:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 11:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 12:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 13:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 14:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 15:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 16:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 17:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 18:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 19:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 20:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 21:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 22:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-29 23:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 00:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 01:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 02:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 03:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 04:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 05:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 06:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 07:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 08:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 09:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 10:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 11:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 12:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 13:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 14:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 15:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 16:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 17:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 18:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 19:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 20:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 21:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 22:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-09-30 23:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 00:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 01:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 02:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 03:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 04:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 05:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 06:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 07:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 08:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 09:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 10:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 11:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 12:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 13:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 14:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 15:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 16:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 17:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 18:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 19:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 20:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 21:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 22:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-01 23:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 00:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 01:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 02:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 03:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 04:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 05:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 06:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 07:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 08:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 09:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 10:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 11:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 12:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 13:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 14:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 15:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 16:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 17:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 18:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 19:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 20:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 21:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 22:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-02 23:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 00:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 01:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 02:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 03:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 04:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 05:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 06:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 07:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 08:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 09:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 10:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 11:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 12:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 13:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 14:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 15:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 16:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 17:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 18:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 19:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 20:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 21:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 22:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-03 23:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-04 00:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
2013-10-04 01:00:00+00:00,7728.881064000004,0.0,2325.5790410000004,657.600233,2405.8674950000004,1081.7009170000006
